EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2.0,37.0,1.0,Travel_Rarely,1141.0,Research & Development,11.0,2,Medical,1.0,1,Female,61.0,1.0,2,Healthcare Representative,2,Married,4777.0,14382.0,5,Y,No,15.0,3,1,80.0,0,15.0,2,1,1.0,0.0,2.220446049250313e-16,0.0
3.0,51.0,1.0,Travel_Rarely,1323.0,Research & Development,4.0,4,Life Sciences,1.0,1,Male,34.0,3.0,1,Research Scientist,3,Married,2461.0,10332.0,9,Y,Yes,12.0,3,3,80.0,3,18.0,2,4,10.0,0.0,2.0,7.0
4.0,42.0,0.0,Travel_Frequently,555.0,Sales,26.0,3,Marketing,1.0,3,Female,77.0,3.0,4,Sales Executive,2,Married,13525.0,14864.0,5,Y,No,14.0,3,4,80.0,1,23.0,2,4,18.0,4.0,4.0,8.0
7.0,40.0,0.0,Travel_Rarely,1124.0,Sales,1.0,2,Medical,1.0,2,Male,57.0,1.0,2,Sales Executive,4,Married,7457.0,13273.0,2,Y,Yes,22.0,4,3,80.0,3,6.0,2,2,4.0,3.0,2.220446049250313e-16,2.0
8.0,55.0,1.0,Travel_Rarely,725.0,Research & Development,2.0,3,Medical,1.0,4,Male,78.0,3.0,5,Manager,1,Married,17490.875,21199.0,5,Y,Yes,13.0,3,4,80.0,1,24.0,2,3,5.0,2.0,1.0,4.0
9.0,36.0,0.0,Travel_Frequently,635.0,Research & Development,18.0,1,Medical,1.0,2,Female,73.0,3.0,1,Laboratory Technician,4,Single,2153.0,7703.0,1,Y,No,13.0,3,1,80.0,0,8.0,2,3,8.0,1.0,1.0,7.0
10.0,32.0,0.0,Travel_Rarely,1018.0,Research & Development,3.0,2,Life Sciences,1.0,3,Female,39.0,3.0,3,Research Director,4,Single,11159.0,19373.0,3,Y,No,15.0,3,4,80.0,0,10.0,6,3,7.0,7.0,7.0,7.0
11.0,25.0,0.0,Travel_Rarely,583.0,Sales,4.0,1,Marketing,1.0,3,Male,87.0,2.0,2,Sales Executive,1,Married,4256.0,18154.0,1,Y,No,12.0,3,1,80.0,0,5.0,1,4,5.0,2.0,2.220446049250313e-16,3.0
12.0,20.0,1.0,Travel_Rarely,129.0,Research & Development,4.0,3,Technical Degree,1.0,1,Male,84.0,3.0,1,Laboratory Technician,1,Single,2973.0,13008.0,1,Y,No,19.0,3,2,80.0,0,1.0,2,3,1.0,0.0,2.220446049250313e-16,0.0
14.0,42.0,0.0,Travel_Rarely,810.0,Research & Development,23.0,5,Life Sciences,1.0,1,Female,44.0,3.0,4,Research Director,4,Single,15992.0,15901.0,2,Y,No,14.0,3,2,80.0,0,16.0,2,3,1.0,0.0,2.220446049250313e-16,0.0
15.0,31.0,0.0,Travel_Rarely,616.0,Research & Development,12.0,3,Medical,1.0,4,Female,41.0,3.0,2,Healthcare Representative,4,Married,5855.0,17369.0,0,Y,Yes,11.0,3,3,80.0,2,10.0,2,1,9.0,7.0,7.499999999999999,5.0
16.0,38.0,0.0,Non-Travel,573.0,Research & Development,6.0,3,Medical,1.0,2,Female,79.0,1.0,2,Research Scientist,4,Divorced,5329.0,15717.0,7,Y,Yes,12.0,3,4,80.0,3,17.0,3,3,13.0,11.0,1.0,9.0
17.0,39.0,0.0,Travel_Rarely,408.0,Research & Development,2.0,4,Technical Degree,1.0,4,Female,80.0,2.0,2,Healthcare Representative,3,Single,4553.0,20978.0,1,Y,No,11.0,3,1,80.0,0,20.0,4,3,18.0,7.0,7.499999999999999,10.0
18.0,54.0,0.0,Travel_Rarely,821.0,Research & Development,5.0,2,Medical,1.0,1,Male,86.0,3.0,5,Research Director,1,Married,17490.875,8509.0,4,Y,No,11.0,3,3,80.0,1,24.0,4,2,4.0,2.0,1.0,2.0
20.0,49.0,0.0,Travel_Rarely,1098.0,Research & Development,4.0,2,Medical,1.0,1,Male,85.0,2.0,5,Manager,3,Married,17490.875,12124.0,2,Y,No,13.0,3,3,80.0,1,23.0,2,4,1.0,0.0,2.220446049250313e-16,0.0
21.0,24.0,0.0,Travel_Rarely,691.0,Research & Development,23.0,3,Medical,1.0,2,Male,89.0,4.0,1,Research Scientist,4,Married,2725.0,21630.0,1,Y,Yes,11.0,3,2,80.0,2,6.0,3,3,6.0,5.0,1.0,4.0
22.0,40.0,0.0,Travel_Rarely,302.00000000000006,Research & Development,6.0,3,Life Sciences,1.0,2,Female,75.0,3.0,4,Manufacturing Director,3,Single,13237.0,20364.0,7,Y,No,15.0,3,3,80.0,0,22.0,3,3,18.0,6.0,5.0,13.0
23.0,41.0,0.0,Non-Travel,267.0,Sales,10.0,2,Life Sciences,1.0,4,Male,56.0,3.0,2,Sales Executive,4,Single,6230.0,13430.0,7,Y,No,14.0,3,4,80.0,0,16.0,3,3,14.0,3.0,1.0,10.0
24.0,32.0,0.0,Travel_Rarely,588.0,Sales,8.0,2,Technical Degree,1.0,3,Female,65.0,2.0,2,Sales Executive,2,Married,5228.0,24624.0,1,Y,Yes,11.0,3,4,80.0,0,13.0,2,3,13.0,12.0,7.499999999999999,9.0
25.0,24.0,1.0,Travel_Rarely,813.0,Research & Development,1.0,3,Medical,1.0,2,Male,61.0,3.0,1,Research Scientist,4,Married,2293.0,3020.0,2,Y,Yes,16.0,3,1,80.0,1,6.0,2,2,2.0,0.0,2.0,0.0
28.0,39.0,0.0,Travel_Rarely,412.0,Research & Development,13.0,4,Medical,1.0,3,Female,94.0,2.0,4,Manager,2,Divorced,17123.0,17334.0,6,Y,Yes,13.0,3,4,80.0,2,21.0,4,3,18.0,9.0,7.499999999999999,2.0
29.0,59.0,0.0,Travel_Rarely,818.0,Human Resources,6.0,2,Medical,1.0,2,Male,52.0,3.0,1,Human Resources,3,Married,2267.0,25657.0,8,Y,No,17.0,3,4,80.0,0,7.0,2,2,2.0,2.0,2.0,2.0
31.0,36.0,0.0,Travel_Rarely,1425.0,Research & Development,14.0,1,Life Sciences,1.0,3,Male,68.0,3.0,2,Healthcare Representative,4,Married,6586.0,4821.0,0,Y,Yes,17.0,3,1,80.0,1,17.0,2,2,16.0,8.0,4.0,11.0
